date,ISIN,BondName,Coupon,MaturityDate,ttm_years,clean_price,ytm_decimal,ytm_percent
2026-01-05,CA135087L518,CAN 0.25 Mar 26,0.25%,2026-03-01,0.1506849315068493,99.7,0.022566059306334596,2.2566059306334596
2026-01-05,CA135087L930,CAN 1 Sep 26,1.00%,2026-09-01,0.6547945205479452,99.145,0.023179311406965164,2.3179311406965164
2026-01-05,CA135087M847,CAN 1.25 Mar 27,1.25%,2027-03-01,1.1506849315068493,98.6,0.0249236706422169,2.49236706422169
2026-01-05,CA135087N837,CAN 2.75 Sep 27,2.75%,2027-09-01,1.6547945205479453,100.22,0.026074063644341505,2.6074063644341505
2026-01-05,CA135087P576,CAN 3.5 Mar 28,3.50%,2028-03-01,2.1534246575342464,101.73,0.0266438894351666,2.66438894351666
2026-01-05,CA135087Q491,CAN 3.25 Sep 28,3.25%,2028-09-01,2.6575342465753424,101.34,0.02716255315971794,2.716255315971794
2026-01-05,CA135087Q988,CAN 4 Mar 29,4.00%,2029-03-01,3.1534246575342464,103.63,0.027865670925053765,2.7865670925053765
2026-01-05,CA135087R895,CAN 3.5 Sep 29,3.50%,2029-09-01,3.6575342465753424,102.22,0.028504545983674356,2.8504545983674356
2026-01-05,CA135087S471,CAN 2.75 Mar 30,2.75%,2030-03-01,4.153424657534247,99.493,0.02878745630587809,2.878745630587809
2026-01-05,CA135087T388,CAN 2.75 Sep 30,2.75%,2030-09-01,4.657534246575342,99.165,0.029393579725941477,2.9393579725941477
2026-01-06,CA135087L518,CAN 0.25 Mar 26,0.25%,2026-03-01,0.14794520547945206,99.71,0.022254042509429306,2.2254042509429306
2026-01-06,CA135087L930,CAN 1 Sep 26,1.00%,2026-09-01,0.6520547945205479,99.145,0.023234405969281946,2.3234405969281946
2026-01-06,CA135087M847,CAN 1.25 Mar 27,1.25%,2027-03-01,1.1479452054794521,98.63,0.024683707111069486,2.4683707111069486
2026-01-06,CA135087N837,CAN 2.75 Sep 27,2.75%,2027-09-01,1.652054794520548,100.3,0.025574785042404402,2.55747850424044
2026-01-06,CA135087P576,CAN 3.5 Mar 28,3.50%,2028-03-01,2.1506849315068495,101.78,0.026395408821664246,2.6395408821664246
2026-01-06,CA135087Q491,CAN 3.25 Sep 28,3.25%,2028-09-01,2.654794520547945,101.41,0.026884421174569573,2.6884421174569573
2026-01-06,CA135087Q988,CAN 4 Mar 29,4.00%,2029-03-01,3.1506849315068495,103.7,0.02762709118684792,2.762709118684792
2026-01-06,CA135087R895,CAN 3.5 Sep 29,3.50%,2029-09-01,3.654794520547945,102.33,0.028185145088090335,2.8185145088090335
